_meta.locale,en,ar,de-DE,es-419,es-ES,fr-FR,hi-IN,id,it-IT,ja-JP,km,ko-KR,pl-PL,pt-BR,vi-VN,zh-CN,ru-RU,uk-UA,tr
page.cloud_optimize.confirmation.detached_eligible,Detached files (eligible for trash),الملفات المنفصلة (المؤهلة للحذف),Abgetrennte Dateien (zum Papierkorb geeignet),Archivos desconectados (aptos para la papelera),Archivos desconectados (aptos para la papelera),Fichiers détachés (pouvant être supprimés),अलग की गई फाइलें (ट्रैश में डालने योग्य),File terpisah (layak dibuang),File separati (da eliminare nel cestino),切り離されたファイル（ゴミ箱に入れる対象）,ឯកសារ​ដែល​បាន​ផ្ដាច់ (មាន​សិទ្ធិ​ដាក់​ក្នុង​ធុងសំរាម),분리된 파일(휴지통으로 이동 가능한 파일),Odłączone pliki (kwalifikujące się do kosza),Arquivos separados (podem ser descartados),Các tập tin tách rời (có thể chuyển vào thùng rác),分离的文件（可丢弃）,Отдельные файлы (подлежащие удалению),Від’єднані файли (які можна перемістити в кошик),Ayrılmış dosyalar (çöp kutusuna atılabilir)
page.cloud_optimize.confirmation.detached_too_recent,"Detached files (too recent, skipped)",الملفات المنفصلة (حديثة جدًا، تم تخطيها),"Abgetrennte Dateien (zu neu, übersprungen)","Archivos separados (demasiado recientes, omitidos)","Archivos separados (demasiado recientes, omitidos)","Fichiers détachés (trop récents, ignorés)","अलग की गई फाइलें (बहुत हाल की हैं, इसलिए छोड़ दी गईं)","Berkas terpisah (terlalu baru, dilewati)","File scollegati (troppo recenti, ignorati)",分離されたファイル（新しすぎるためスキップ）,ឯកសារ​ដែល​បាន​ផ្ដាច់ (ថ្មីៗ​ពេក រំលង),"분리된 파일(너무 최근 파일, 건너뛴 파일)","Odłączone pliki (zbyt niedawne, pominięte)","Arquivos desconectados (muito recentes, ignorados)","Các tập tin bị tách rời (quá mới, đã bỏ qua)",分离的文件（太新，已跳过）,"Отсоединенные файлы (слишком новые, пропущены)","Від’єднані файли (занадто нещодавні, пропущені)","Ayrılmış dosyalar (çok yeni, atlandı)"
page.cloud_optimize.confirmation.footer,Files will be moved to Google Drive trash.,سيتم نقل الملفات إلى سلة المهملات في جوجل درايف.,Die Dateien werden in den Google Drive-Papierkorb verschoben.,Los archivos se moverán a la papelera de Google Drive.,Los archivos se moverán a la papelera de Google Drive.,Les fichiers seront déplacés vers la corbeille de Google Drive.,फाइलें गूगल ड्राइव के ट्रैश में चली जाएंगी।,File akan dipindahkan ke tempat sampah Google Drive.,I file verranno spostati nel cestino di Google Drive.,ファイルはGoogleドライブのゴミ箱に移動されます。,ឯកសារនឹងត្រូវបានផ្លាស់ទីទៅធុងសំរាម Google Drive។,파일은 Google Drive 휴지통으로 이동됩니다.,Pliki zostaną przeniesione do kosza na Dysku Google.,Os arquivos serão movidos para a lixeira do Google Drive.,Các tệp sẽ được chuyển vào thùng rác của Google Drive.,文件将被移至 Google 云端硬盘回收站。,Файлы будут перемещены в корзину Google Диска.,Файли буде переміщено до кошика Google Диска.,Dosyalar Google Drive çöp kutusuna taşınacak.
page.cloud_optimize.confirmation.no_eligible_files,No eligible files to clean up.,لا توجد ملفات مؤهلة للتنظيف.,Keine geeigneten Dateien zum Bereinigen.,No hay archivos elegibles para limpiar.,No hay archivos elegibles para limpiar.,Aucun fichier éligible à nettoyer.,सफाई के लिए कोई योग्य फाइलें नहीं हैं।,Tidak ada berkas yang memenuhi syarat untuk dibersihkan.,Nessun file idoneo da eliminare.,クリーンアップ対象ファイルはありません。,គ្មានឯកសារដែលមានសិទ្ធិសម្អាតទេ។,정리할 적합한 파일이 없습니다.,Brak plików kwalifikujących się do wyczyszczenia.,Não há arquivos elegíveis para limpeza.,Không có tập tin nào đủ điều kiện để dọn dẹp.,没有符合条件的文件需要清理。,"Нет файлов, подходящих для очистки.","Немає файлів, які можна очистити.",Temizlenecek uygun dosya yok.
page.cloud_optimize.confirmation.space_to_free,Space to free,مساحة للإخلاء,Freiraum schaffen,Espacio para liberar,Espacio para liberar,Espace libre,खाली करने के लिए जगह,Ruang untuk dibebaskan,Spazio libero,自由になる空間,ចន្លោះទំនេរសម្រាប់,자유 공간,Miejsce do zwolnienia,Espaço livre,Không gian trống,自由空间,Пространство для освобождения,Простір для вільного простору,Özgür bırakılacak alan
page.cloud_optimize.confirmation.stale_duplicates,Safe stale duplicates,النسخ القديمة الآمنة,Sichere veraltete Duplikate,Duplicados obsoletos seguros,Duplicados obsoletos seguros,doublons obsolètes sécurisés,सुरक्षित बासी डुप्लिकेट,duplikat usang yang aman,duplicati obsoleti sicuri,安全な古い重複,ឯកសារស្ទួនដែលលែងប្រើបានដោយសុវត្ថិភាព,안전한 오래된 복제본,Bezpieczne nieaktualne duplikaty,Duplicatas obsoletas seguras,bản sao cũ an toàn,安全的过期重复项,Безопасные устаревшие дубликаты,Безпечні застарілі дублікати,Güvenli bayat kopyalar
page.cloud_optimize.step.analyze.active,Checking files...,جارٍ فحص الملفات...,Dateien werden geprüft...,Comprobando archivos...,Comprobando archivos...,Vérification des fichiers...,फ़ाइलों की जाँच हो रही है...,Memeriksa file...,Controllo dei file...,ファイルを確認しています...,កំពុងពិនិត្យមើលឯកសារ...,파일을 확인하는 중...,Sprawdzanie plików...,Verificando arquivos...,Đang kiểm tra tập tin...,正在检查文件……,Проверка файлов...,Перевірка файлів...,Dosyalar kontrol ediliyor...
page.cloud_optimize.step.analyze.active_with_count,Checked {CURRENT_COUNT} of {TOTAL_COUNT}...,تم التحقق من {CURRENT_COUNT} من {TOTAL_COUNT}...,{CURRENT_COUNT} von {TOTAL_COUNT} geprüft...,Se ha comprobado {CURRENT_COUNT} de {TOTAL_COUNT}...,Se ha comprobado {CURRENT_COUNT} de {TOTAL_COUNT}...,{CURRENT_COUNT} vérifié sur {TOTAL_COUNT}...,कुल संख्या में से वर्तमान संख्या की जाँच की गई...,Telah diperiksa {CURRENT_COUNT} dari {TOTAL_COUNT}...,Verificato {CURRENT_COUNT} su {TOTAL_COUNT}...,{TOTAL_COUNT} のうち {CURRENT_COUNT} を確認しました...,បានពិនិត្យ {CURRENT_COUNT} ក្នុងចំណោម {TOTAL_COUNT}...,{CURRENT_COUNT}개를 {TOTAL_COUNT}개 확인했습니다...,Sprawdzono {CURRENT_COUNT} z {TOTAL_COUNT}...,Verificado {CURRENT_COUNT} de {TOTAL_COUNT}...,Đã kiểm tra {CURRENT_COUNT} trên tổng số {TOTAL_COUNT}...,已检查 {CURRENT_COUNT} 和 {TOTAL_COUNT}...,Проверено {CURRENT_COUNT} из {TOTAL_COUNT}...,Перевірено {CURRENT_COUNT} з {TOTAL_COUNT}...,{TOTAL_COUNT} içindeki {CURRENT_COUNT} sayısı kontrol edildi...
page.cloud_optimize.step.analyze.detached_eligible,{DETACHED_COUNT} detached (eligible for trash),{DETACHED_COUNT} منفصل (مؤهل للرمي),{DETACHED_COUNT} abgetrennt (für den Papierkorb geeignet),{DETACHED_COUNT} separado (apto para la basura),{DETACHED_COUNT} separado (apto para la basura),{DETACHED_COUNT} détaché (éligible pour la poubelle),{DETACHED_COUNT} अलग किए गए (कचरे के लिए योग्य),{DETACHED_COUNT} terpisah (layak dibuang),{DETACHED_COUNT} staccati (idonei per il cestino),{DETACHED_COUNT}個の切り離し済み（ゴミ箱行き）,បានផ្ដាច់ចេញ {DETACHED_COUNT} (មានសិទ្ធិដាក់ក្នុងធុងសំរាម),{DETACHED_COUNT}개 분리됨(휴지통으로 이동 가능),{DETACHED_COUNT} odłączono (kwalifikuje się do kosza),{DETACHED_COUNT} desanexado (elegível para lixeira),{DETACHED_COUNT} đã tách rời (có thể cho vào thùng rác),{DETACHED_COUNT} 个已分离（符合丢弃条件）,{DETACHED_COUNT} отсоединено (можно удалить),{DETACHED_COUNT} від’єднано (можна викинути в кошик),{DETACHED_COUNT} adet ayrılmış (çöp kutusuna atılmaya uygun)
page.cloud_optimize.step.analyze.detached_too_recent,{TOO_RECENT_COUNT} detached (too recent),{TOO_RECENT_COUNT} تم فصله (حديث جدًا),{TOO_RECENT_COUNT} getrennt (zu aktuell),{TOO_RECENT_COUNT} desconectado (demasiado reciente),{TOO_RECENT_COUNT} desconectado (demasiado reciente),{TOO_RECENT_COUNT} détaché (trop récent),{TOO_RECENT_COUNT} अलग (बहुत हाल का),{TOO_RECENT_COUNT} terlepas (terlalu baru),{TOO_RECENT_COUNT} scollegato (troppo recente),{TOO_RECENT_COUNT} 切断済み（最近すぎる）,បានផ្ដាច់ចេញ {TOO_RECENT_COUNT} (ថ្មីពេក),{TOO_RECENT_COUNT} 분리됨(너무 최근),{TOO_RECENT_COUNT} odłączono (zbyt niedawno),{TOO_RECENT_COUNT} desanexado (muito recente),{TOO_RECENT_COUNT} đã tách rời (quá gần đây),{TOO_RECENT_COUNT} 已分离（时间过近）,{TOO_RECENT_COUNT} отсоединено (слишком недавно),{TOO_RECENT_COUNT} від’єднано (занадто нещодавно),{TOO_RECENT_COUNT} adet ayrılmış (çok yeni)
page.cloud_optimize.step.analyze.nothing_to_clean,Nothing to clean up,لا يوجد ما يستدعي التنظيف,Nichts aufzuräumen,No hay nada que limpiar,No hay nada que limpiar,Rien à nettoyer,सफाई करने के लिए कुछ भी नहीं है,Tidak ada yang perlu dibersihkan,Niente da pulire,片付ける必要はありません,គ្មានអ្វីត្រូវសម្អាតទេ,청소할 게 아무것도 없어요,Nic do posprzątania,Nada para limpar,Không cần dọn dẹp gì cả.,无需清理,Убирать нечего.,Нічого прибирати,Temizlenecek bir şey yok.
page.cloud_optimize.step.analyze.stale_duplicate,{STALE_COUNT} stale duplicate,{STALE_COUNT} نسخة مكررة قديمة,{STALE_COUNT} veraltetes Duplikat,{STALE_COUNT} duplicado obsoleto,{STALE_COUNT} duplicado obsoleto,{STALE_COUNT} doublons obsolètes,{STALE_COUNT} बासी डुप्लिकेट,{STALE_COUNT} duplikat usang,{STAL_COUNT} duplicato obsoleto,{STALE_COUNT}個の古い重複,ច្បាប់ចម្លងចាស់ {STALE_COUNT},{STALE_COUNT}개의 오래된 중복 항목,{STALE_COUNT} nieaktualny duplikat,{STALE_COUNT} duplicado obsoleto,{STALE_COUNT} bản sao cũ,{STALE_COUNT} 过期重复项,{STALE_COUNT} устаревший дубликат,{STALE_COUNT} застарілий дублікат,{STALE_COUNT} adet eski kopya
page.cloud_optimize.step.analyze.stale_duplicates,{STALE_COUNT} stale duplicates,{STALE_COUNT} نسخ مكررة قديمة,{STALE_COUNT} veraltete Duplikate,{STALE_COUNT} duplicados obsoletos,{STALE_COUNT} duplicados obsoletos,{STALE_COUNT} doublons obsolètes,{STALE_COUNT} बासी डुप्लिकेट,{STALE_COUNT} duplikat usang,{STAL_COUNT} duplicati obsoleti,{STALE_COUNT}件の古い重複,ឯកសារស្ទួនចាស់ៗចំនួន {STALE_COUNT},{STALE_COUNT}개의 오래된 중복 항목,{STALE_COUNT} nieaktualnych duplikatów,{STALE_COUNT} duplicados obsoletos,{STALE_COUNT} bản sao cũ,{STALE_COUNT} 个过期重复项,{STALE_COUNT} устаревших дубликатов,{STALE_COUNT} застарілих дублікатів,{STALE_COUNT} eski kopya
